20240304,JL 6719,131-47386441,C2038,168
ESECMJ1007364346,1,6,,,X
ESECMJ1007364354,1,11.8,,,X
ESECMJ1007364360,1,19,,,X
ESECMJ1007364425,1,5.9,,,X
ESECMJ1007364600,1,13.6,,,X
ESECMJ1007364607,1,6.4,,,X
ESECMJ1007364655,1,4,,,X
ESECMJ1007364682,1,17.6,,,X
ESECMJ1007364865,1,9.4,,,X
ESECMJ1007364874,1,9.4,,,X
ESECMJ1007364902,1,9.4,,,X
ESECMJ1007364903,1,9.4,,,X
ESECMJ1007364908,1,9.4,,,X
ESECMJ1007364910,1,1.9,,,X
ESECMJ1007365064,1,1.4,,,X
ESECMJ1007365199,1,11.26,,,X
